,Unnamed: 0,Location 地點,Standard BS1363,Medium IEC 62196 (≦20kW),Medium SAE J1772,Medium Others,Quick CHAdeMO,Quick CCS Combo 2,Quick IEC 62196 (>20kW),Quick GB/T 20234.3 (DC),Quick Others,"Remark for ""Others"" 附註",Latitude,Longitude,count_tot
126,,Tin Hau Car Park 天后停車場,,153,,,,,,,,,22.28311729,114.1917232,153
127,,Tin Hau Car Park 天后停車場,6,6,,,,,,,,,22.28311729,114.1917232,12
128,96,Wanchai Tower and Immigration Tower 灣仔政府大樓及入境事務大樓,,18,,,,,,,,,22.2804389,114.172694,18
129,,Wanchai Tower and Immigration Tower 灣仔政府大樓及入境事務大樓,12,12,,,,,,,,,22.2804389,114.172694,24
130,97,Convention Plaza (Harbour Road) Carpark 會展廣場(港灣道)停車場,3,,,,,,,,,,22.28384607,114.1731117,3
131,,Convention Plaza (Harbour Road) Carpark 會展廣場(港灣道)停車場,,,,3,,,,,,Tesla Wall Connector,22.28384607,114.1731117,3
132,98,Convention Plaza (Expo Drive Central Road) Carpark 會展廣場(博覽道中)停車場,2,,,,,,,,,,22.2839208,114.1730929,2
133,99,Shui On Centre 瑞安中心,,1,,,,,,,,,22.28063399,114.1713076,1
134,,Shui On Centre 瑞安中心,,,,,,,,,1,Tesla Wall Connector,22.28063399,114.1713076,1
135,100,Lee Garden One 利園1期,,,,,,,,,2,Tesla Supercharger,22.27864727,114.1846823,2
136,,Lee Garden One 利園1期,,1,,,,,,,,,22.27864727,114.1846823,1
137,101,Lee Garden Two 利園2期,,1,,,,,,,,,22.27896611,114.1853946,1
138,102,Lee Garden Three 利園3期,,,,,2,2,7,,,,22.27819032,114.185255,11
139,103,Sun Hung Kai Centre 新鴻基中心,,,,,,,,,1,Tesla Wall Connector,22.28068095,114.1766653,1
140,104,World Trade Centre 世貿中心,,,,,,,2,,,,22.28208887,114.1841302,2
141,,World Trade Centre 世貿中心,1,,,,,,1,,,,22.28208887,114.1841302,2
142,105,Mira Moon Hotel 問月酒店,,,,,,,,,1,Tesla Wall Connector,22.280134,114.1794042,1
143,106,Regal Hong Kong Hotel 富豪香港酒店,,,,,,,,,1,Tesla Wall Connector,22.27931261,114.1868805,1
144,107,Leighton Centre 禮頓中心,,1,, ,,,,,,,22.27757866,114.1826787,1
145,108,Central Plaza 中環廣場,,,,3,,,,,,Tesla Wall Connector,22.28003874,114.1736853,3
146,109,Harbour Centre 海港中心,1,,,,,,,,,,22.28142458,114.1755445,1
147,110,Lee Tung Avenue 利東街,8,10,,,,,,,,,22.27597855,114.1725386,18
148,,Lee Tung Avenue 利東街,,,,14,,,,,,Tesla Wall Connector,22.27597855,114.1725386,14
149,111,Windsor House 皇室堡,,11,,,,,1,,,,22.28055756,114.1865105,12
150,112,China Resources Building 華潤大廈,,,,4,,,,,,Tesla Wall Connector,22.28019118,114.1751328,4
151,113,The Emperor Hotel 英皇駿景酒店,,,,3,,,,,,Tesla Wall Connector,22.27500794,114.1782494,3
152,114,The St. Regis Hong Kong 香港瑞吉酒店,,,,4,,,,,,Tesla Wall Connector,22.28007971,114.1757961,4
153,115,Hang Lung Centre 恒隆中心,,,,,,,,,2,Tesla Wall Connector,22.28045255,114.1858495,2
154,116,Camelot Heights 金鑾閣,,,,1,,,,,,Tesla Wall Connector,22.27448144,114.1708041,1
155,117,Wong Nai Chung Gap Children's Playground 黃泥涌峽兒童遊樂場,,3,,,,,,,,,22.25759163,114.1942009,3
156,118,St. Paul's Hospital 聖保祿醫院,,,,,,,2,,,,22.27915721,114.1880649,2
157,119,Capital Centre 資本中心,,,,,,,2,,,,22.27962351,114.1773801,2
158,,Kowloon 九龍,765,604,10,193,15,30,173,0,150,,,,
159,,Kowloon City District 九龍城區,,,,,,,,,,,,,
160,120,Sunshine Plaza 陽光廣場,1,,,,,,,,,,22.31236717,114.189464,1
161,121,Whampoa Plaza 黃埔廣場,1,,,,,,,,,,22.30498076,114.1906662,1
162,122,Ka Wai Chuen 家維村,1,,,,,,,,,,22.30787623,114.1862877,1
163,123,Tak Long Estate 德朗邨,9,4,,,,,,,,,22.33033183,114.2035249,13
164,,Tak Long Estate 德朗邨,,,,,1,1,1,,,,22.33033183,114.2035249,3
165,124,Kai Ching Estate 啟晴邨,14,,,,,,,,,,22.33225288,114.2030306,14
166,,Kai Ching Estate 啟晴邨,,,,,,,3,,,,22.33225288,114.2030306,3
167,125,Kai Tak Cruise Terminal 啓德郵輪碼頭,36,,,,,,,,,,22.30683515,114.212766,36
168,,Kai Tak Cruise Terminal 啓德郵輪碼頭,,,,,,,,,6,Tesla Supercharger,22.30683515,114.212766,6
169,126,Hung Hom Station Car Park 香港鐵路紅磡站停車場,,1,,,,,1,,,,22.30322904,114.1810541,2
170,127,Regal Oriental Hotel 富豪東方酒店,,,,,,,,,1,Tesla Wall Connector,22.33014489,114.1930177,1
171,128,Hotel SAV 逸．酒店,,,,,,,,,2,Tesla Wall Connector,22.3071921,114.1860898,2
172,129,Kowloon City Plaza 九龍城廣場,,,,,,,,,2,Tesla Wall Connector,22.33114903,114.1879425,2
173,130,Kerry Hotel Hong Kong 香港嘉里酒店,,,,6,,,,,,Tesla Wall Connector,22.30144789,114.1882993,6
174,131,Kai Long Court 啟朗苑,4,,,,,,,,,,22.33068856,114.2008821,4
175,132,Jubilant Place 欣榮花園,,2,,,,,,,,,22.32192662,114.1892659,2
176,133,The Laguna Mall 海逸坊 ,,1,,,,,,,,,22.30905615,114.1910949,1
177,134,The Trade and Industry Tower 工業貿易大樓,,20,,,,,,,,,22.33284588,114.1978956,20
178,135,Hong Kong Children's Hospital 香港兒童醫院,22,,,,,,,,,,22.31591491,114.2087703,22
179,136,Celestial Heights 半山壹號,3,3,,,,,,,,,22.31991161,114.1855038,6
180,,Celestial Heights 半山壹號,4,,,,,,4,,,,22.31991161,114.1855038,8
181,137,Harbour Place 海濱南岸,2,,,,,,2,,,,22.30415441,114.1860941,4
182,138,Oi Man Plaza 愛民廣場,,,,8,,,,,6,Tesla Wall Connector / Supercharger,22.31144458,114.1793024,14
183,139,Whampoa Gourmet Place 黃埔天地美食坊,,,,,,,4,,,,22.30511863,114.1907186,4
184,140,Harbourfront One 海濱廣場一座,,,,,,,2,,,,22.30259914,114.1917403,2
185,,Kwun Tong 觀塘區,,,,,,,,,,,,,
186,141,Kwun Tong Plaza 觀塘廣場,,,,,,,1,,,,22.31103926,114.2259095,1
187,,Kwun Tong Plaza 觀塘廣場,,3,,,,,,,,,22.31103926,114.2259095,3
188,142,Mega Box,,,,,,,3,,,,22.32012835,114.2083365,3
189,,Mega Box,,3,,,,,,,,,22.32012835,114.2083365,3
190,143,Exchange Tower 國際交易中心,3,,,,,,,,,,22.32136313,114.2090476,3
191,144,Futura Plaza 富利廣場,1,,,,,,,,,,22.31210382,114.2244518,1
192,145,Kowloon Bay International Trade & Exhibition Centre  九龍灣國際展貿中心,,,,,,,4,,,,22.32413419,114.2036641,4
193,,Kowloon Bay International Trade & Exhibition Centre  九龍灣國際展貿中心,,,,,,,,,8,Tesla Supercharger,22.32413419,114.2036641,8
194,,Kowloon Bay International Trade & Exhibition Centre  九龍灣國際展貿中心,,,,,,,,,6,Tesla Wall Connector,22.32413419,114.2036641,6
195,146,Skyline Tower 宏天廣場,9,,,,,,,,,,22.32660965,114.2055206,9
196,,Skyline Tower 宏天廣場,,,,3,,,,,,Tesla Wall Connector,22.32660965,114.2055206,3
197,147,Westin Centre 威登中心,1,,,,,,,,,,22.31324801,114.2194948,1
198,148,Kwun Tong Harbour Plaza 觀塘碼頭廣場,2,,,,,,,,,,22.30931948,114.2212805,2
199,149,Metro Centre 美羅中心,1,,,,,,,,,,22.32422401,114.2104208,1
200,150,Metro Centre II 美羅中心二期,2,,,,,,,,,,,,
201,151,Amoy Plaza 淘大商場,,,,,,,,,4,Tesla Wall Connector,22.32478889,114.2163557,4
202,152,Telford Plaza (Car Park D) 德福廣場D座停車場,,,,,,,2,,,,22.32322382,114.2110623,2
203,153,Telford Plaza I 德福廣場一期,1,,,,,,2,,,,22.3233925,114.2131651,3
204,154,Telford Plaza II 德福廣場二期,,,,,,,3,,,,22.32131817,114.2132724,3
205,155,Pacific Trade Centre 太平洋貿易中心,2,,,,,,,,,,22.31677567,114.2131055,2
206,156,Choi Tak Shopping Centre 彩德商場,,,,,,,5,,,,22.32988893,114.2132673,5
207,157,Yau Lai Shopping Centre 油麗商場,,,,,1,1,1,,,,22.29947955,114.2360028,3
208,,Yau Lai Shopping Centre 油麗商場,,,,,,,6,,,,22.29947955,114.2360028,6
209,158,Proficient Industrial Centre 鴻力工業中心,1,,,,,,,,,,22.32285642,114.2084942,1
210,159,Camelpaint Building 駱駝漆大廈,1,,,,,,,,,,22.31066448,114.2248214,1
211,160,Everest Industrial Centre 毅力工業中心,1,,,,,,,,,,22.31377734,114.2222796,1
212,161,Harbourside HQ 啟匯,2,5,,,,,,,,,22.31579466,114.2121242,7
213,,Harbourside HQ 啟匯,,,,,,,2,,,,22.31579466,114.2121242,2
214,162,Domain 大本型,7,5,,,,,,,,,22.29650487,114.2386171,12
215,163,Lower Ngau Tau Kok Estate 牛頭角下邨,14,4,,,,,,,,,22.32079444,114.2156672,18
216,164,Kwun Tong Garden Estate 觀塘花園大廈,1,,,,,,,,,,22.3170315,114.2182383,1
217,165,L'hotel Elan 如心艾朗酒店,,,,2,,,,,,Tesla Wall Connector,22.31426916,114.2190479,2
218,166,Choi Hung Park and Ride Public Car Park 彩虹泊車轉乘公眾停車場,,4,,,,,,,,,22.33600391,114.2099163,4
219,167,Infotech Centre 訊科中心,1,,,,,,,,,,22.31358041,114.2196931,1
220,168,Billion Trade Centre 鴻貿中心,1,,,,,,,,,,22.31296432,114.2206272,1
221,169,Hoplite Industrial Centre 合力工業中心,1,,,,,,,,,,22.32322362,114.2097915,1
222,170,Entrepot Centre 港貿中心,1,,,,,,,,,,22.31163022,114.2245046,1
223,171,On Tat Estate 安達邨,2,3,,,,,,,,,22.31984227,114.2348944,5
224,172,One Bay East,,10,,,,,,,,,22.31552311,114.2145921,10
225,173,One Kowloon 一號九龍,,,,6,,,,,,Tesla Wall Connector,22.32181987,114.2101277,6
226,174,Goldin Financial Global Centre 高銀金融國際中心,,,,,,,,,4,Tesla Wall Connector,22.325885,114.2069722,4
227,,Goldin Financial Global Centre 高銀金融國際中心,157,2,,,,,,,,,22.325885,114.2069722,159
228,175,APM 創紀之城5期,2,,,,,,2,,,,22.3128205,114.2253538,4
229,176,Manulife Financial Centre 宏利金融中心,,3,,,,,,,,,22.30772531,114.2238109,3
230,177,"A1 Parking, Lei Yue Mun ",,,,1,,,,,,Tesla Wall Connector,22.30383397,114.2268149,1
231,178,FTLife Tower 富通中心,,,,,,,,,18,Tesla Supercharger,22.3216404,114.2099629,18
232,,FTLife Tower 富通中心,,,,44,,,,,,Tesla Wall Connector,22.3216404,114.2099629,44
233,179,On Tai Estate 安泰邨,27,,,,,,,,,,22.32649585,114.2305077,27
234,180,The Quayside 海濱匯,312,100,,,3,3,,,,,22.31681149,114.21373,418
235,,The Quayside 海濱匯,,,,3,,,,,,Tesla Wall Connector,22.31681149,114.21373,3
236,,The Quayside 海濱匯,,,,,,,,,3,Tesla Supercharger,22.31681149,114.21373,3
237,181,Choi Hing Court 彩興苑,2,,,,,,,,,,22.33189658,114.2142792,2
238,182,One Pacific Center 1 亞太中心,,,,4,,,,,,Tesla Wall Connector,22.31292742,114.2244641,4
239,183,8 Yan Yue Wai Public Vehicle Park 仁宇圍8號公眾停車場,,18,,,,,2,,,,22.32911528,114.171214,20
240,184,Lei Yue Mun Municipal Services Building 鯉魚門市政大廈,,6,,,,,,,,,22.29240657,114.2385987,6
241,185,Shun Lee Tsuen Park 順利邨公園,,4,,,,,,,,,22.3292704,114.2254318,4
242,186,Choi Fook Estate 彩福邨,6,,,,,,,,,,22.32813137,114.217184,6
243,187,Kowloon Bay Park 九龍灣公園,,11,,,,,,,,,22.32688961,114.2071733,11
244,188,Ping Shek Playground 坪石遊樂場,,10,,,,,,,,,22.33244788,114.212142,10
245,189,YM2 裕民坊,,,,,2,2,2,,,,22.31453899,114.2241273,6
246,,YM2 裕民坊,,45,,,,,10,,,,22.31453899,114.2241273,55
247,190,Manulife Place 宏利廣場,,3,,,,,,,,,22.31557172,114.2168923,3
248,191,Eastcore 嘉域大廈,,,,4,,,,,,Tesla Wall Connector,22.31366271,114.2230465,4
249,192,Ko Cheung Court 高翔苑,1,,,,,,,,,,22.29701811,114.2404412,1
250,193,Kai Tin Shopping Centre 啟田商場,,,,5,,,,,3,Tesla Wall Connector / Supercharger,22.30838674,114.2350164,8
251,194,Grand Central 凱滙,,21,,,,,,,,,22.31468134,114.2253259,21
252,,Sham Shui Po District 深水埗區,,,,,,,,,,,,,
253,195,Festival Walk 又一城,,,,,1,1,1,,,,22.33754968,114.1743356,3
254,,Festival Walk 又一城,,,,,,,,,4,Tesla Supercharger,22.33754968,114.1743356,4
255,,Festival Walk 又一城,,,,,,,26,,,,22.33754968,114.1743356,26
256,196,CEO Tower 環薈中心 ,2,,,,,,,,,,22.33975506,114.1492281,2
257,197,Excel Centre 卓匯中心,1,,,,,,,,,,22.33807052,114.1477385,1
258,198,Cheung Sha Wan Government Offices 長沙灣政府合署,,71,,,,,,,,,22.33197991,114.1603862,71
