,polygon,polygon_name,geo,func,Polygon Geometry,num restaurants,centroid_x,centroid_y
0,1,KT,"1,2,5,4",MR,"POLYGON ((114.124456 22.284502, 114.125668 22.279051, 114.13335 22.284327, 114.133367 22.290534, 114.124456 22.284502))",58,114.12919387954939,22.284668837277437
1,2,PFL,"2,3,6,5",R,"POLYGON ((114.125668 22.279051, 114.128878 22.274865, 114.133401 22.277582, 114.13335 22.284327, 114.125668 22.279051))",3,114.1302893447475,22.279226139087797
2,3,SYP,"4,5,9,8,7",MR,"POLYGON ((114.133367 22.290534, 114.13335 22.284327, 114.146255 22.27973, 114.14687 22.287106, 114.147604 22.291782, 114.133367 22.290534))",72,114.14082354546625,22.286555485544234
3,4,C,"7,8,13,12",B,"POLYGON ((114.147604 22.291782, 114.14687 22.287106, 114.159476 22.277576, 114.164932 22.287256, 114.147604 22.291782))",186,114.15580074825134,22.285525239078602
4,5,WML,"8,9,14,13",MR,"POLYGON ((114.14687 22.287106, 114.146255 22.27973, 114.155917 22.272574, 114.159476 22.277576, 114.14687 22.287106))",55,114.15215608894067,22.279400031043174
5,6,MP,"9,10,15,19,18,14",R,"POLYGON ((114.146255 22.27973, 114.143097 22.273996, 114.15741 22.265945, 114.171727 22.266326, 114.173352 22.272573, 114.155917 22.272574, 114.146255 22.27973))",2,114.15827227709049,22.27104772313315
6,7,P,"10,11,15",R,"POLYGON ((114.143097 22.273996, 114.146381 22.257189, 114.15741 22.265945, 114.143097 22.273996))",0,114.14896266666668,22.265710000000002
7,8,WC,"12,13,17,16",B,"POLYGON ((114.164932 22.287256, 114.159476 22.277576, 114.174873 22.278862, 114.175655 22.285659, 114.164932 22.287256))",27,114.1682765577979,22.282155369162517
8,9,EML,"13,14,18,17",MR,"POLYGON ((114.159476 22.277576, 114.155917 22.272574, 114.173352 22.272573, 114.174873 22.278862, 114.159476 22.277576))",160,114.16620727784257,22.27533309976124
9,10,CB,"16,17,18,21,20",MR,"POLYGON ((114.175655 22.285659, 114.174873 22.278862, 114.173352 22.272573, 114.187572 22.276069, 114.185117 22.285453, 114.175655 22.285659))",257,114.18027467248038,22.279533824327586
10,11,HV,"18,19,22,21",R,"POLYGON ((114.173352 22.272573, 114.171727 22.266326, 114.192252 22.259916, 114.187572 22.276069, 114.173352 22.272573))",16,114.18248858870625,22.26834893660028
11,12,NP,"20,21,25,24,23",MR,"POLYGON ((114.185117 22.285453, 114.187572 22.276069, 114.206757 22.287587, 114.209445 22.29572, 114.195078 22.296949, 114.185117 22.285453))",107,114.19646572180872,22.288128204819312
12,13,TK,"24,25,27,26",MR,"POLYGON ((114.209445 22.29572, 114.206757 22.287587, 114.222264 22.276778, 114.223165 22.289474, 114.209445 22.29572))",79,114.21575784420921,22.287032636398266
