edge,from,to,distance
1,1,2,
2,1,3,
3,3,4,
4,3,5,
5,4,5,
6,4,8,
7,5,6,
8,5,9,
9,6,7,
10,6,9,
11,8,9,
12,8,10,
13,9,10,
14,10,11,
15,10,12,
16,12,13,
17,2,1,
18,3,1,
19,4,3,
20,5,3,
21,5,4,
22,8,4,
23,6,5,
24,9,5,
25,7,6,
26,9,6,
27,9,8,
28,10,8,
29,10,9,
30,11,10,
31,12,10,
32,13,12,
